LineId,Date,Time,Level,Component,Content,EventId,EventTemplate
1,2019-02-27,18:29:41.886,INFO,[cfgdb.task.taskmanagerservice],taskmanagerservice.cpp:459 Cleaning up tasks we originated and destined to removed nodes,ea8dba65,taskmanagerservice.cpp:4<*> Cleaning up <*> <*> <*>ted <*> <*> <*> <*> <*>es
2,2019-02-27,18:29:41.886,INFO,[cfgdb.task.taskmanagerservice],taskmanagerservice.cpp:470 Cleaning up subtasks of completed tasks as well as attributes and responses of requests that have been removed,dcb9ced5,taskmanagerservice.cpp:<*> <*>ning <*> tasks <*> <*> <*>
3,2019-02-27,18:29:41.889,INFO,[cfgdb.task.taskmanagerservice],taskmanagerservice.cpp:388 Pruning completed tasks older than 96:00:00,dcb9ced5,taskmanagerservice.cpp:<*> <*>ning <*> tasks <*> <*> <*>
4,2019-02-27,18:29:41.889,INFO,[cfgdb.task.taskmanagerservice],taskmanagerservice.cpp:392 Earliest task time to keep is 1550946581 (2019-Feb-23 18:29:41),0c575d73,<*> Earliest task <*> <*> <*> <*> <*> <*>
5,2019-02-27,18:29:41.889,ERROR,[cfgdb.task.taskmanagerservice],taskmanagerservice.cpp:375 Could not locate my earliest time of any tasks: Database Failure: Query for constrained minimum value returned no results.,NONE,NONE
6,2019-02-27,18:29:41.889,INFO,[cfgdb.task.taskmanagerservice],taskmanagerservice.cpp:453 Task pruning complete.,cbb63b72,taskmanagerservice.cpp:<*> Task <*> <*>
294,2019-02-27,18:48:39.696,INFO,[cfgdb.task.taskmanagerservice],"taskmanagerservice.cpp:1621 Processing request task_request[follows_span_id = , id = 252d1969-27f1-4542-9146-98403c454f23, owner = a625d351-ee43-4269-9bd9-28325a20cd78, parent_span_id = , seq_num = 0, span_id = 1922b1c2157f198d, task_async_parent = 00000000-0000-0000-0000-000000000000, task_cancel_restart = 0, task_destination = a625d351-ee43-4269-9bd9-28325a20cd78, task_feature_level = 1222, task_invisible = 0, task_parent = 00000000-0000-0000-0000-000000000000, task_priority = 2000, task_receive_time = 1551293317, task_stunned = 0, task_type = com.simplivity.task.backup_policy.create, trace_id = cbb850b77cd3f9cb607cafbdcf70fe88]",NONE,NONE
295,2019-02-27,18:48:39.697,INFO,[cfgdb.task.taskmanagerservice],taskmanagerservice.cpp:1661 Task 252d1969-27f1-4542-9146-98403c454f23 Response: task_affected_objects = 1|43:policy:378b94cb-474e-412a-8a86-39641a22e982|,cbb63b72,taskmanagerservice.cpp:<*> Task <*> <*>
296,2019-02-27,18:48:39.698,INFO,[cfgdb.task.taskmanagerservice],"taskmanagerservice.cpp:1691 Task Request task_request[follows_span_id = , id = 252d1969-27f1-4542-9146-98403c454f23, owner = a625d351-ee43-4269-9bd9-28325a20cd78, parent_span_id = , seq_num = 0, span_id = 1922b1c2157f198d, task_async_parent = 00000000-0000-0000-0000-000000000000, task_cancel_restart = 0, task_destination = a625d351-ee43-4269-9bd9-28325a20cd78, task_feature_level = 1222, task_invisible = 0, task_parent = 00000000-0000-0000-0000-000000000000, task_priority = 2000, task_receive_time = 1551293317, task_stunned = 0, task_type = com.simplivity.task.backup_policy.create, trace_id = cbb850b77cd3f9cb607cafbdcf70fe88]: Successful (Result::done)",cbb63b72,taskmanagerservice.cpp:<*> Task <*> <*>
297,2019-02-27,18:48:39.712,INFO,[cfgdb.task.taskmanagerservice],"taskmanagerservice.cpp:2220 Task com.simplivity.task.hms.uvt.update:task_invisible = 1, task_priority = 2000, task_transitory = 1, uvt_id = 252d1969-27f1-4542-9146-98403c454f23, uvt_status = Completed created with id d053b9f9-e6bd-4863-adbf-8a248c9b11d7",5e8b765f,"taskmanagerservice.cpp:2220 Task com.simplivity.task.hms.uvt.update:task_invisible = 1, task_priority = 2000, task_transitory = 1, uvt_id = <*>, uvt_status = Completed created with id <*>"
298,2019-02-27,18:48:39.712,INFO,[cfgdb.task.taskmanagerservice],taskmanagerservice.cpp:3660 Created async task d053b9f9-e6bd-4863-adbf-8a248c9b11d7 of type com.simplivity.task.hms.uvt.update from 252d1969-27f1-4542-9146-98403c454f23,37202005,taskmanagerservice.cpp:3660 Created async task <*> of type com.simplivity.task.hms.uvt.update from <*>
326,2019-02-27,18:48:47.582,INFO,[cfgdb.task.taskmanagerservice],"taskmanagerservice.cpp:2220 Task com.simplivity.task.vmware.datastore.create.getvmkernelnics:session_map = 1|12:10.1.182.213:48:{SVT-UPN-TAG}hpesvtadmin@SCRUMAD14.HYPER-V.LOCAL|, task_priority = 2000 created with id 8444c1d2-29ab-4388-a399-0204c789691f",79097499,taskmanagerservice.cpp:2220 Task com.simplivity.task.<*> = <*> task_priority = 2000<*> <*> <*> <*> <*>
590,2019-02-27,18:48:58.038,INFO,[cfgdb.task.taskmanagerservice],taskmanagerservice.cpp:3101 get remote task 4fb132c0-c5a9-4dd3-9fdf-24827c3c7e1e from dest node id 5b2ac51c-3875-41a5-948e-9897c919e611 or owner node id a625d351-ee43-4269-9bd9-28325a20cd78 - TMS: TaskManagerService_a625d351-ee43-4269-9bd9-28325a20cd78,91b5fe76,taskmanagerservice.cpp:3101 get remote task <*> from dest node id 5b2ac51c-3875-41a5-948e-9897c919e611 or owner node id a625d351-ee43-4269-9bd9-28325a20cd78 - TMS: TaskManagerService_a625d351-ee43-4269-9bd9-28325a20cd78
852,2019-02-27,18:57:42.206,INFO,[cfgdb.task.taskmanagerservice],taskmanagerservice.cpp:459 Cleaning up tasks we originated and destined to removed nodes,ea8dba65,taskmanagerservice.cpp:4<*> Cleaning up <*> <*> <*>ted <*> <*> <*> <*> <*>es
853,2019-02-27,18:57:42.206,INFO,[cfgdb.task.taskmanagerservice],taskmanagerservice.cpp:470 Cleaning up subtasks of completed tasks as well as attributes and responses of requests that have been removed,dcb9ced5,taskmanagerservice.cpp:<*> <*>ning <*> tasks <*> <*> <*>
854,2019-02-27,18:57:42.209,INFO,[cfgdb.task.taskmanagerservice],taskmanagerservice.cpp:388 Pruning completed tasks older than 96:00:00,dcb9ced5,taskmanagerservice.cpp:<*> <*>ning <*> tasks <*> <*> <*>
