LineId,Date,Time,Level,Component,Content,EventId,EventTemplate
1,2019-02-27,18:30:01.178,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1857 [5b173917-a45b-45c4-8e89-bf5758194d46] Cleared our role (was None),8c79f90f,<*> <*> <*> <*> <*> <*>
2,2019-02-27,18:30:02.182,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:431 [5b173917-a45b-45c4-8e89-bf5758194d46] This node is the hive owner # 1,8c79f90f,<*> <*> <*> <*> <*> <*>
3,2019-02-27,18:30:02.183,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1676 Hive 5b173917-a45b-45c4-8e89-bf5758194d46 with HmsObjId  is not HA compliant,8c79f90f,<*> <*> <*> <*> <*> <*>
4,2019-02-27,18:30:02.184,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1773 Hive 5b173917-a45b-45c4-8e89-bf5758194d46 with HmsObjId  data access is optimized,8c79f90f,<*> <*> <*> <*> <*> <*>
5,2019-02-27,18:30:02.186,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1717 Hive 5b173917-a45b-45c4-8e89-bf5758194d46 (00001111-2222-3333-4444-555566667890/10.1.133.184) with HmsObjId : ZONE_NOT_APPLICABLE,8c79f90f,<*> <*> <*> <*> <*> <*>
6,2019-02-27,18:30:02.186,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:500 [5b173917-a45b-45c4-8e89-bf5758194d46] zone compliance set to ZONE_NOT_APPLICABLE,8c79f90f,<*> <*> <*> <*> <*> <*>
7,2019-02-27,18:30:05.922,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1717 Hive 5b173917-a45b-45c4-8e89-bf5758194d46 (00001111-2222-3333-4444-555566667890/10.1.133.184) with HmsObjId : ZONE_NOT_APPLICABLE,8c79f90f,<*> <*> <*> <*> <*> <*>
8,2019-02-27,18:30:05.922,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:500 [5b173917-a45b-45c4-8e89-bf5758194d46] zone compliance set to ZONE_NOT_APPLICABLE,8c79f90f,<*> <*> <*> <*> <*> <*>
9,2019-02-27,18:30:18.326,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1857 [4366eca1-5f1c-44ae-a497-8992b5d91b6b] Cleared our role (was None),8c79f90f,<*> <*> <*> <*> <*> <*>
10,2019-02-27,18:30:19.328,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:431 [4366eca1-5f1c-44ae-a497-8992b5d91b6b] This node is the hive owner # 1,8c79f90f,<*> <*> <*> <*> <*> <*>
